ID EBV
3DD.003BEF24EF_CX-40_2015 19.64066985
3DD.003E0912DB_CX-145_2020 -14.03150323
3DD.003BF0575A_CX-51_2016 -10.00625562
3DD.003D3DB78E_cx-13_2018 -8.2136475
3DD.003D3DB5A4_cx-114_2018 32.79346044
3DD.003D3129A6_CX-56_2017 -1.5956644
3DD.003D5867B7_CX-133_2020 -20.92213774
3DD.003D586420_CX-134_2019 6.16449412
3DD.003D3DB8FA_CX-19_2019 -5.61622645
3DD.003D3DB769_CX-204_2019 17.94162029
3DD.003BDCFC01_CX-33_2014 12.6393296
3DD.003D312D36_CX-92_2017 -9.13775252
3DD.003BEF64F9_CX-23_2016 -35.51157831
3DD.003BEF29F4_CX-14_2016 17.41220974
3DD.003E2A3288_CX-48_2022 2.90688685
3DD.003D3DB78B_cx-15_2018 36.1195887
3DD.003D58607E_cx-32_2018 1.48387157
3DD.003BF05A2D_CX-91_2016 -5.27875951
3DD.003D3DB955_CX-45_2019 74.32652265
3DD.003BEF6448_CX-19_2016 -22.67828975
3DD.003BEF2B0B_CX-11_2016 32.69217575
3DD.003D312C25_CX-108_2017 3.49166297
3DD.003E2A3202_CX-144_2022 21.3254121
3DD.003D585EF5_CX-56_2020 -25.98531292
3DD.003E2A31CF_CX-128_2022 -19.16581348
3DD.003BF05A77_CX-82_2016 -10.54129751
3DD.003E2A2D86_CX-30_2022 0.47843393
3DD.003BEF658A_CX-21_2016 0.80626943
3DD.003D58661A_cx-96_2018 -24.20626251
3DD.003BF05A32_CX-91_2016 15.38780671
3DD.003D586390_cx-130_2018 4.78323319
3DD.003BF057F4_CX-43_2017 30.08354479
3DD.003E2A31D4_CX-128_2022 9.08404921
3DD.003D3DB83A_cx-68_2018 14.47991804
3DD.003D5863C0_CX-57_2019 1.28020738
3DD.003D586134_cx-96_2018 -16.87296482
3DD.003D58602F_CX-121_2020 -6.69716944
3DD.003D5860A6_CX-32_2018 -28.63150528
3DD.003E0912C9_CX-145_2020 14.46835825
3DD.003D3DB923_CX-35_2019 -5.67308851
3DD.003D5863F8_CX-64_2019 21.9467736
3DD.003E2A32C1_CX-48_2022 -2.34308764
3DD.003D3DB5C4_cx-48_2018 40.81701372
3DD.003BF05AA2_CX-58_2016 -2.64774076
3DD.003E2A2D67_CX-35_2022 -17.22581274
3DD.003D312CA9_CX-113_2017 31.54082507
3DD.003E2A327B_CX-68_2022 -3.78303595
3DD.003D5863BB_CX-57_2019 32.28005671
3DD.003BDCFB57_CX-85_2014 -37.82411526
3DD.003BEF642A_CX-19_2016 -14.0283379
3DD.003D3DB6D3_CX-140_2019 3.83117212
3DD.003D58604C_CX-120_2020 -24.74570514
3DD.003D586620_cx-84_2018 5.46025996
3DD.003E2A31D0_CX-134_2022 16.06314856
3DD.003D3DB6DC_CX-142_2019 -10.50209154
3DD.003BF05AC6_CX-62_2016 48.56988344
3DD.003D5866E1_CX-81_2020 14.7714742
3DD.003E2A32C6_CX-57_2022 -11.11467638
3DD.003E2A2DBC_CX-38_2022 25.54714944
3DD.003E2A2DBA_CX-30_2022 -2.77155027
3DD.003D312C20_CX-104_2017 -3.13778168
3DD.003D3DB5D6_CX-114_2018 -25.08617594
3DD.003BF05731_CX-47_2016 18.9495209
3DD.003E2A32D2_CX-68_2022 3.46692881
3D9.239F88AEF7_CX-78_2017 -35.85481323
3DD.003BF0572C_CX-47_2016 10.14956062
3DD.003D585FE0_CX-99_2020 -12.30439616
3DD.003BEF64BC_CX-29_2016 10.52323483
3DD.003E09120D_CX-13_2022 10.84405282
