id	dam	sire
3DD.003D3DB5AA_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5AF_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5B6_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5BE_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5C1_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5C2_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5C3_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5C5_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5C9_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5CB_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5CE_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5CF_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5D0_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5D2_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5D4_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5DE_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB590_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB592_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB593_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB594_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB596_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB598_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5A4_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5AC_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5AD_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5B2_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5B3_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5B5_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
3DD.003D3DB5B7_CX-114_2018	3DD.003BF0593A_CX-118_2016	3DD.003BEF6643_CX-110_2016
