id sire dam
20143986  20091161  20100391
20143987  20091161  20100391
20143988  20091161  20100391
20143989  20091161  20100391
20143990  20091161  20100391
20143991  20091161  20100391
20144011  20100194  20100642
20144014  20100194  20100642
20144015  20100194  20100642
20144016  20100194  20100642
20144017  20100194  20100642
20144018  20100194  20100642
20144019  20100194  20100642
20144020  20100194  20100642
20144021  20100194  20100642
20144042  20100935  20100649
20144046  20100935  20100649
20144047  20100935  20100649
20144048  20100935  20100649
20144049  20100935  20100649
20144050  20100935  20100649
20144051  20100935  20100649
20144052  20100935  20100649
20144055  20100935  20100649
20144101  20100660  20100451
20144104  20100660  20100451
20144105  20100660  20100451
20144107  20100660  20100451
20144108  20100660  20100451
20144109  20100660  20100451
20144110  20100660  20100451
20144111  20100660  20100451
20144114  20100660  20100451
20144116  20100932  20100928
20144119  20100932  20100928
20144120  20100932  20100928
20144121  20100932  20100928
20144122  20100932  20100928
20144124  20100932  20100928
20144126  20100932  20100928
20144128  20100932  20100928
20144130  20100932  20100928
20144131  20100932  20100926
20144134  20100932  20100926
20144135  20100932  20100926
20144136  20100932  20100926
20144137  20100932  20100926
20144138  20100932  20100926
20144139  20100932  20100926
20144140  20100932  20100926
20144141  20100932  20100926
20144146  20100929  20100914
20144149  20100929  20100914
20144150  20100929  20100914
20144151  20100929  20100914
20144153  20100929  20100914
20144154  20100929  20100914
20144155  20100929  20100914
20144156  20100929  20100914
20144161  20100584  20100580
20144164  20100584  20100580
20144165  20100584  20100580
20144166  20100584  20100580
20144167  20100584  20100580
20144168  20100584  20100580
20144169  20100584  20100580
20144170  20100107  20100393
20144171  20100584  20100580
20144177  20100582  20100578
20144180  20100582  20100578
20144182  20100582  20100578
20144183  20100582  20100578
20144184  20100582  20100578
20144185  20100582  20100578
20144186  20100582  20100578
20144187  20100582  20100578
20144191  20100582  20100578
20144195  20100576  20100821
20144196  20100576  20100821
20144197  20100576  20100821
20144198  20100576  20100821
20144199  20100576  20100821
20144200  20100576  20100821
20144201  20100576  20100821
20144202  20100576  20100821
20144228  20091161  20100392
20144236  20100314  20100317
20144239  20100314  20100317
20144240  20100314  20100317
20144242  20100314  20100317
20144243  20100314  20100317
20144244  20100314  20100317
20144245  20100314  20100317
20144246  20100314  20100317
20144251  20100351  20100620
20144254  20100351  20100620
20144255  20100351  20100620
20144256  20100351  20100620
20144257  20100351  20100620
20144258  20100351  20100620
20144259  20100351  20100620
20144260  20100351  20100620
20144261  20100351  20100620
20144267  20100373  20100648
20144270  20100373  20100648
20144272  20100373  20100648
20144273  20100373  20100648
20144274  20100373  20100648
20144275  20100373  20100648
20144276  20100373  20100648
20144277  20100373  20100648
20144280  20100373  20100648
20144282  20100902  20100347
20144285  20100902  20100347
20144286  20100902  20100347
20144287  20100902  20100347
20144288  20100902  20100347
20144289  20100902  20100347
20144290  20100902  20100347
20144291  20100902  20100347
20144327  20100934  20100933
20144330  20100934  20100933
20144331  20100934  20100933
20144332  20100934  20100933
20144333  20100934  20100933
20144334  20100934  20100933
20144335  20100934  20100933
20144336  20100934  20100933
20144337  20100934  20100933
20144342  20100660  20100661
20144346  20100660  20100661
20144347  20100660  20100661
20144348  20100660  20100661
20144351  20100660  20100661
20144352  20100660  20100661
20144354  20100660  20100661
20144356  20100733  20100449
20144359  20100733  20100449
20144360  20100733  20100449
20144361  20100733  20100449
20144362  20100733  20100449
20144363  20100733  20100449
20144366  20100733  20100449
20144368  20100733  20100449
20144369  20100733  20100449
20144371  20100660  20100451
20144385  20100524  20100853
20144388  20100524  20100853
20144389  20100524  20100853
20144390  20100524  20100853
20144391  20100524  20100853
20144392  20100524  20100853
20144393  20100524  20100853
20144394  20100524  20100853
20144411  20100183  20100320
20144414  20100183  20100320
20144415  20100183  20100320
20144416  20100183  20100320
20144417  20100183  20100320
20144418  20100183  20100320
20144419  20100183  20100320
20144420  20100183  20100320
20144425  20100183  20100320
20144426  20100934  20100931
20144429  20100934  20100931
20144430  20100934  20100931
20144431  20100934  20100931
20144432  20100934  20100931
20144433  20100934  20100931
20144434  20100934  20100931
20144435  20100934  20100931
20144436  20100934  20100931
20144456  20100324  20100647
20144459  20100324  20100647
20144460  20100324  20100647
20144461  20100324  20100647
20144462  20100324  20100647
20144464  20100324  20100647
20144465  20100324  20100647
20144466  20100324  20100647
20144471  20100582  20100575
20144474  20100582  20100575
20144475  20100582  20100575
20144476  20100582  20100575
20144478  20100582  20100575
20144479  20100582  20100575
20144480  20100324  20100647
20144481  20100582  20100575
20144486  20100183  20100729
20144489  20100183  20100729
20144490  20100183  20100729
20144492  20100183  20100729
20144493  20100183  20100729
20144494  20100183  20100729
20144495  20100183  20100729
20144496  20100183  20100729
20144501  20100616  20100358
20144504  20100616  20100358
20144505  20100616  20100358
20144506  20100616  20100358
20144507  20100616  20100358
20144508  20100616  20100358
20144509  20100616  20100358
20144510  20100616  20100358
20144511  20100616  20100358
20144516  20100296  20100816
20144519  20100296  20100816
20144520  20100296  20100816
20144521  20100296  20100816
20144522  20100296  20100816
20144523  20100296  20100816
20144524  20100296  20100816
20144525  20100296  20100816
20144531  20100324  20100938
20144534  20100324  20100938
20144535  20100324  20100938
20144536  20100324  20100938
20144537  20100324  20100938
20144538  20100324  20100938
20144539  20100324  20100938
20144540  20100324  20100938
20144541  20100324  20100938
20144546  20100446  20100914
20144549  20100446  20100914
20144550  20100446  20100914
20144551  20100446  20100914
20144552  20100446  20100914
20144553  20100446  20100914
20144554  20100446  20100914
20144556  20100446  20100914
20144564  20100524  20100856
20144566  20100524  20100856
20144567  20100524  20100856
20144568  20100524  20100856
20144569  20100524  20100856
20144571  20100524  20100856
20144576  20100446  20100693
20144579  20100446  20100693
20144580  20100446  20100693
20144581  20100446  20100693
20144582  20100446  20100693
20144584  20100446  20100693
20144585  20100446  20100693
20144606  20100371  20100507
20144609  20100371  20100507
20144611  20100371  20100507
20144613  20100371  20100507
20144614  20100371  20100507
20144615  20100371  20100507
20144616  20100371  20100507
20144620  20100371  20100507
20144624  20100832  20100877
20144625  20100832  20100877
20144627  20100832  20100877
20144628  20100832  20100877
20144630  20100832  20100877
20144633  20100832  20100877
20144634  20100832  20100877
20144639  20100340  20100908
20144641  20100340  20100908
20144642  20100340  20100908
20144643  20100340  20100908
20144644  20100340  20100908
20144645  20100340  20100908
20144646  20100340  20100908
20144655  20100414  20100440
20144656  20100414  20100440
20144657  20100414  20100440
20144664  20100371  20100176
20144667  20100371  20100176
20144668  20100371  20100176
20144669  20100371  20100176
20144670  20100371  20100176
20144671  20100371  20100176
20144672  20100371  20100176
20144694  20100720  20100622
20144695  20100720  20100622
20144696  20100720  20100622
20144697  20100720  20100622
20144698  20100720  20100622
20144699  20100720  20100622
20144700  20100720  20100622
20144701  20100720  20100622
20144705  20100444  20100684
20144709  20100444  20100684
20144711  20100444  20100684
20144713  20100444  20100684
20144714  20100444  20100684
20144717  20100444  20100684
20144718  20100444  20100684
20144719  20100444  20100684
20144720  20100433  20100518
20144723  20100433  20100518
20144724  20100433  20100518
20144726  20100433  20100518
20144727  20100433  20100518
20144728  20100433  20100518
20144729  20100433  20100518
20144730  20100433  20100518
20144732  20100433  20100518
20144734  20100337  20100905
20144737  20100337  20100905
20144738  20100337  20100905
20144739  20100337  20100905
20144742  20100337  20100905
20144743  20100337  20100905
20144744  20100337  20100905
20144746  20100337  20100905
20144752  20100010  20100429
20144753  20100010  20100429
20144754  20100010  20100429
20144757  20100010  20100429
20144758  20100010  20100429
20144759  20100010  20100429
20144764  20100876  20100179
20144767  20100876  20100179
20144768  20100876  20100179
20144769  20100876  20100179
20144770  20100876  20100179
20144771  20100876  20100179
20144773  20100876  20100179
20144774  20100876  20100179
20144783  20100876  20100174
20144784  20100876  20100174
20144785  20100876  20100174
20144786  20100876  20100174
20144787  20100876  20100174
20144789  20100876  20100174
20144792  20100876  20100174
20144793  20100876  20100174
20144794  20100450  20100735
20144797  20100450  20100735
20144798  20100450  20100735
20144799  20100450  20100735
20144800  20100450  20100735
20144801  20100450  20100735
20144802  20100450  20100735
20144803  20100450  20100735
20144804  20100450  20100735
20144809  20100935  20100936
20144812  20100935  20100936
20144813  20100935  20100936
20144814  20100935  20100936
20144815  20100935  20100936
20144816  20100935  20100936
20144817  20100935  20100936
20144818  20100935  20100936
20144819  20100935  20100936
20144824  20100584  20100579
20144827  20100584  20100579
20144828  20100584  20100579
20144829  20100584  20100579
20144830  20100584  20100579
20144831  20100584  20100579
20144832  20100584  20100579
20144834  20100584  20100579
20144843  20100930  20100916
20144846  20100930  20100916
20144847  20100447  20100916
20144848  20100447  20100916
20144849  20100447  20100916
20144850  20100930  20100916
20144851  20100930  20100916
20144852  20100447  20100916
20144853  20100930  20100916
20144856  20100296  20100818
20144859  20100296  20100818
20144860  20100296  20100818
20144861  20100296  20100818
20144862  20100296  20100818
20144863  20100296  20100818
20144864  20100296  20100818
20144866  20100296  20100818
20144870  20100296  20100818
20144871  20100191  20100898
20144874  20100191  20100898
20144875  20100191  20100898
20144876  20100191  20100898
20144877  20100191  20100898
20144878  20100191  20100898
20144879  20100191  20100898
20144880  20100191  20100898
20144881  20100191  20100898
20144884  20100688  20100781
20144888  20100688  20100781
20144889  20100893  20100906
20144890  20100688  20100781
20144891  20100688  20100781
20144892  20100688  20100781
20144893  20100688  20100781
20144894  20100688  20100781
20144902  20100893  20100906
20144903  20100893  20100906
20144905  20100893  20100906
20144907  20100893  20100906
20144908  20100893  20100906
20144912  20100191  20100345
20144915  20100191  20100345
20144916  20100191  20100345
20144917  20100191  20100345
20144918  20100191  20100345
20144919  20100191  20100345
