id_tag,dam_tag,sire_tag
3DD.003BDCFB59_2014,3DD.003BA5AFB9_2012,3DD.003BA5AF96_2012
3DD.003BDCFB5F_2014,3DD.003B9F9B8C_2012,3DD.003BA5B038_2012
3DD.003BDCFB72_2014,3DD.003BA5AF25_2012,3DD.003B9F9AE0_2012
3DD.003BDCFB82_2014,3D9.1C2DBB2C40_2012,3DD.003B9F9B44_2012
3DD.003BDCFBD4_2014,3DD.003BA5AF9C_2012,3DD.003B9F9B8E_2012
3DD.003BDCFBE4_2014,3DD.003BA5AF7B_2012,3DD.003BA5AFD0_2012
3DD.003BDCFBEB_2014,3DD.003BA5AFB4_2012,3DD.003BA5AF31_2012
3DD.003BDCFC01_2014,3DD.003BA5AFB4_2012,3DD.003BA5AF31_2012
3DD.003BDCFC05_2014,3DD.003B9F9AF6_2012,3DD.003B9F9B53_2012
3DD.003BDCFC08_2014,3DD.003BA5AFB9_2012,3DD.003BA5AF96_2012
3DD.003BDCFC09_2014,3DD.003BA5AF7B_2012,3DD.003BA5AFD0_2012
3DD.003BDCFC0F_2014,3DD.003BA5AFF5_2012,3DD.003BA5AF5E_2012
3DD.003BDCFC12_2014,3DD.003B959B58_2012,3D9.1C2DB6620E_2012
3DD.003BDCFC20_2014,3DD.003BA5AF7B_2012,3DD.003BA5AFD0_2012
3DD.003BDCFC28_2014,3DD.003BA5AFF5_2012,3DD.003BA5AF5E_2012
3DD.003BDCFC36_2014,3DD.003B9F9ADC_2012,3DD.003BA5AF35_2012
3DD.003BDCFC3D_2014,3DD.003BA5AF1F_2012,3DD.003BA5AFDA_2012
3DD.003BDCFC47_2014,3DD.003BA5AF1F_2012,3DD.003BA5AFDA_2012
3DD.003BDCFC4D_2014,3DD.003BA5AF5A_2012,3DD.003BA5AFB6_2012
3DD.003BDCFC55_2014,3DD.003BA5AF1F_2012,3DD.003BA5AFDA_2012
3DD.003BDCFC62_2014,3DD.003B9F9B70_2012,3DD.003B9F9AD2_2012
3DD.003BDCFC66_2014,3DD.003BA5AF7A_2012,3DD.003B9F9B86_2012
3DD.003BDCFC67_2014,3DD.003B9F9B70_2012,3DD.003B9F9AD2_2012
3DD.003BDCFC92_2014,3DD.003BA5B03F_2012,3DD.003B9F9B0F_2012
3DD.003BDCFCB4_2014,3DD.003BA5B00F_2012,3DD.003BA5AF73_2012
3DD.003BDCFCE6_2014,3DD.003BA5B031_2012,3DD.003BA5AF10_2012
3DD.003BEF2444_2015,384.1B797139D7_2013,3DD.003BA5B0E0_2013
3DD.003BEF246C_2015,384.1B7971364F_2013,384.1B7971443E_2013
3DD.003BEF24E9_2015,384.1B797135F5_2013,384.1B79707797_2013
3DD.003BEF24EF_2015,384.1B797135F5_2013,384.1B79707797_2013
3DD.003BEF252E_2015,384.1B79713A6E_2013,384.1B79713E2A_2013
3DD.003BEF2539_2015,384.1B79713A6E_2013,384.1B79713E2A_2013
3DD.003BEF2550_2015,384.1B79713A6E_2013,384.1B79713E2A_2013
3DD.003BEF2559_2015,384.1B79713A6E_2013,384.1B79713E2A_2013
3DD.003BEF2560_2015,3DD.003BA5B06E_2013,384.1B79707532_2013
3DD.003BEF2561_2015,384.1B79713A6E_2013,384.1B79713E2A_2013
3DD.003BEF25D6_2015,3DD.003BA5B0BF_2013,384.1B79714043_2013
3DD.003BEF25E6_2015,384.1B7970715F_2013,3DD.003BA5B0B0_2013
3DD.003BEF25F6_2015,384.1B7970715F_2013,3DD.003BA5B0B0_2013
3DD.003BEF2785_2015,3DD.003BA5B0DE_2013,384.1B797137B2_2013
3DD.003BEF2787_2015,3DD.003BA5B0DE_2013,384.1B797137B2_2013
3DD.003BEF27C8_2015,384.1B7970762A_2013,384.1B7970757D_2013
3DD.003BEF27CA_2015,384.1B7970762A_2013,384.1B7970757D_2013
3DD.003BEF27D2_2015,384.1B7970762A_2013,384.1B7970757D_2013
3DD.003BEF27E7_2015,384.1B7970762A_2013,384.1B7970757D_2013
3DD.003BEF2836_2015,3DD.003BA5B0DF_2013,384.1B79713B1D_2013
3DD.003BEF2845_2015,384.1B797063E4_2013,3DD.003BA5B0C8_2013
